date,prgtype,cutoffreq,upper freq,ampstart,ampend,noisethresh,amp calc mode,ak_peak_dec,,,,,,,,,,,,,,,,,,
11/23/2020,LMA 2019-3,300,511,20,20,1.5,1,0.3,,,,,,,,,,,,,,,,,,
call,duration,durat2,select,F0start,F0end,F0max,F0min,F0mean,lmmean,lmmax,F0loc,trfak,trmean,trmax,Pfstart       ,Pfend,Pfmax,Pfmin,Pfmean       ,Pfmaxamp,Pfminamp,Pfmaxloc,Pfminloc,Pfmaxdif,noise_mean,noise_max
KSK268_GGL_CS1.lma,616.0077,0,no,751,963,1292,751,1055,15,240,0.13,0,133,293,751,963,6646,751,1623,939,751,0.63,0,5331,0.29,0.59
KSK280_ZS_CS1.lma,728.0091,0,no,822,751,1785,634,1056,14,348,0.56,0.01,151,724,329,751,3804,329,1366,1104,329,0.78,0,2536,0.32,0.56
KSK285_ZS_CS1.lma,928.0116,0,no,705,798,1550,681,957,9,498,0.93,-0.03,84,690,705,798,3241,681,1064,728,798,0.03,1,2160,0.21,0.4
KSK286_ZS_CS1.lma,552.0069,0,no,1010,1292,1526,845,1283,13,132,0.56,0.07,121,392,1010,1292,6904,282,1564,1198,1292,0.22,1,6481,0.48,0.76
KSK306_FO_CS1.lma,1301.3496,0,no,540,751,869,517,807,1,42,0.55,0.01,44,226,282,376,869,282,783,845,376,0.87,1,376,0.16,0.5
KSK306_FU_CS1.lma,746.676,0,no,798,1127,1573,751,1348,19,484,0.03,0.05,116,438,798,681,2982,517,1817,1479,681,0.33,0.98,1738,0.3,0.51
KSK311_GIM_CS1.lma,792.0099,0,no,822,1432,1667,822,1468,12,193,0.55,0.07,114,462,751,1432,5025,728,2107,1620,1432,0.75,1,3288,0.31,0.57
KSK318_FU_CS1.lma,1080.0135,0,no,1315,1174,1691,845,1139,13,319,0.13,0.02,92,630,1315,1174,1667,564,1129,1245,1315,0.74,0,1104,0.28,0.49
KSK322_FU_CS1.lma,994.6791,0,no,939,1033,1526,892,1362,7,178,0.52,0.02,90,572,352,1033,2912,305,1386,1526,1033,0.53,1,1456,0.26,0.46
KSK354_FU_CS1.lma,696.0087,0,no,986,1339,1386,986,1272,6,132,0.72,0.02,77,328,986,1339,5495,986,2028,5354,1339,0.82,1,4133,0.33,0.52
KSK366_FO_CS2.lma,821.3436,0,no,869,798,1667,798,1021,11,503,0.98,0.01,71,626,869,798,7327,798,1301,1104,798,0.52,1,6294,0.4,0.54
KSK401_SN_CS1.lma,1141.3476,0,no,728,1151,1245,728,1125,5,291,0.63,0.03,53,257,728,1151,7374,728,3229,3593,7209,0.95,0.11,6247,0.57,0.75
KSK404_SN_CS1.lma,749.3427,0,no,822,775,1057,587,999,5,125,0.26,-0.02,49,348,822,3170,7350,798,4004,5190,3170,0.34,1,6200,0.43,0.66
KSK413_SN_CS1.lma,986.679,0,no,728,1057,1315,728,1042,8,122,0.28,0.01,46,286,728,4250,7444,728,3443,3170,3311,0.66,0.21,4204,0.55,0.74
KSK452_FU_CS2.lma,856.0107,0,no,892,916,1104,892,1044,2,16,0.2,-0.01,56,194,892,916,5519,892,1358,1080,939,0.71,0.9,3288,0.38,0.67
KSK467_SL_CS2.lma,629.3412,0,no,751,634,1010,634,901,4,28,0.38,0,90,256,751,634,10239,634,1626,845,705,0.19,0.98,7703,0.47,0.82
KSK469_SL_CS1.lma,877.3443,0,no,1104,775,1198,634,821,13,319,0.03,0,79,387,3616,5237,7632,681,1499,822,3616,0.43,0,6059,0.62,0.74
KSK484_FU_CS3.lma,656.0082,0,no,822,1057,1057,775,992,4,85,0.38,0,47,222,822,6951,7374,775,2204,1010,6740,0.74,0.98,6317,0.34,0.55
KSK486_FU_CS2.lma,882.6777,0,no,798,1268,1315,798,1233,4,89,0.49,0.01,72,387,798,4838,6481,798,2317,5119,4838,0.24,1,5119,0.56,0.74
KSK488_SN_CS2.lma,1018.6794,0,no,1245,869,1292,822,1113,8,157,0.25,-0.01,42,341,1245,869,11648,869,4449,7609,3546,0.8,0.17,8806,0.72,0.84
KSK506_FU_CS1.lma,824.0103,0,no,1151,1010,1973,822,1242,18,413,0.15,0.02,125,774,1151,1010,10920,822,3189,1339,1010,0.82,1,9534,0.72,0.82
KSK507_FU_CS2.lma,613.341,0,no,963,869,1245,869,1126,3,19,0.55,-0.02,84,216,963,869,10990,869,2244,1151,869,0.24,1,7327,0.62,0.81
KSK534_FU_CS2.lma,56.0007,0,no,1315,1409,1409,1315,1353,7,23,0.95,0.12,11,34,1315,1409,1409,1315,1353,1339,1315,0.45,0,47,0.66,0.75
KSK534_FU_CS2.lma,56.0007,0,no,1315,1409,1409,1315,1353,7,23,0.95,0.12,11,34,1315,1409,1409,1315,1353,1339,1315,0.45,0,47,0.66,0.75
KSK554_SN_CS1.lma,664.0083,0,no,798,986,1057,540,823,4,117,0.94,0.06,33,163,798,986,1057,540,823,869,822,0.65,0.03,282,0.31,0.7
KSK559_SN_CS1.lma,648.0081,0,no,939,1198,1245,939,1147,4,56,0.52,0.03,56,182,939,1198,5824,939,2706,4932,1198,0.71,1,3687,0.49,0.71
MTB001_SL_CS2.lma,757.3428,0,no,399,869,892,399,750,5,146,0.64,0.03,55,248,399,869,892,399,750,705,845,0.32,0.98,352,0.28,0.54
MTB020_SL_CS1.lma,424.0053,0,no,705,1127,1151,517,990,15,146,0.41,0.08,82,388,352,1127,1738,329,974,1080,1127,0.7,1,1221,0.38,0.76
MTB022_SL_CS1.lma,309.3372,0,no,658,423,751,399,682,6,94,0.54,-0.05,69,220,658,423,751,376,679,728,423,0.64,1,235,0.21,0.35
MTB023_SL_CS1.lma,621.3411,0,no,1033,986,1315,751,1059,17,193,0.66,0.01,129,286,1033,986,2818,751,1144,798,1033,0.13,0,1667,0.28,0.45
MTB025_FU_CS3.lma,645.3414,0,no,798,1080,1597,798,1380,10,141,0.44,0.04,202,485,751,1080,6129,611,1732,1526,1080,0.76,1,4626,0.21,0.42
MTB026_FU_CS2.lma,810.6768,0,no,822,1104,1479,728,1219,10,216,0.49,0.02,158,422,822,1104,1479,728,1219,1268,822,0.77,0,329,0.3,0.68
